"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Lee,"52,022","52,832","54,707",13,1.6,3.5,57
Leon,"44,528","46,126","48,850",27,3.6,5.9,42
Levy,"36,173","37,176","40,598",39,2.8,9.2,11
Liberty,"24,601","25,697","28,496",64,4.5,10.9,5
Madison,"32,334","32,851","35,828",53,1.6,9.1,12
Manatee,"48,450","50,108","52,395",17,3.4,4.6,55
Marion,"37,497","38,754","41,553",37,3.4,7.2,28
Martin,"83,846","87,423","89,185",3,4.3,2.0,65
Miami-Dade,"52,942","54,316","57,213",11,2.6,5.3,50
Monroe,"98,438","104,370","106,583",1,6.0,2.1,63
Nassau,"61,013","62,700","64,746",9,2.8,3.3,60
Okaloosa,"48,852","51,341","54,630",14,5.1,6.4,35
Okeechobee,"30,637","32,236","34,998",55,5.2,8.6,14
Orange,"44,751","46,645","49,390",26,4.2,5.9,43
Osceola,"34,848","36,258","39,210",43,4.0,8.1,18
Palm Beach,"82,076","85,213","87,478",4,3.8,2.7,62
Pasco,"41,296","42,495","45,461",33,2.9,7.0,30
Pinellas,"53,578","56,002","59,178",10,4.5,5.7,48
Polk,"36,048","37,183","39,760",41,3.1,6.9,31
Putnam,"32,461","33,747","36,354",50,4.0,7.7,23
St. Johns,"70,853","71,577","73,944",6,1.0,3.3,59
St. Lucie,"40,514","41,457","43,970",35,2.3,6.1,41
Santa Rosa,"45,379","46,784","49,472",25,3.1,5.7,47
Sarasota,"66,930","69,004","70,884",7,3.1,2.7,61
Seminole,"49,435","51,620","53,403",16,4.4,3.5,58
Sumter,"48,902","53,411","54,533",15,9.2,2.1,64
Suwannee,"33,421","33,363","35,987",52,-0.2,7.9,21
Taylor,"30,733","30,654","33,227",57,-0.3,8.4,15
Union,"21,816","22,495","24,593",67,3.1,9.3,9
Volusia,"42,851","44,427","46,475",31,3.7,4.6,54
Wakulla,"37,246","37,560","39,938",40,0.8,6.3,36
Walton,"64,401","66,036","69,862",8,2.5,5.8,44
Washington,"30,203","30,537","32,862",58,1.1,7.6,25
,,,,,,,
Georgia,"46,882","48,765","51,780",--,4.0,6.2,--
Appling,"33,620","35,558","39,199",81,5.8,10.2,23
Atkinson,"28,962","30,251","31,938",146,4.5,5.6,126
Bacon,"31,516","32,784","38,281",93,4.0,16.8,1
Baker,"35,175","39,932","43,156",39,13.5,8.1,73
Baldwin,"32,534","33,865","36,399",117,4.1,7.5,90
Banks,"35,862","35,990","37,333",106,0.4,3.7,151
Barrow,"36,720","37,318","40,435",59,1.6,8.4,66
Bartow,"38,310","39,755","42,734",42,3.8,7.5,88
Ben Hill,"31,250","32,539","36,234",119,4.1,11.4,12
Berrien,"31,117","32,573","35,260",126,4.7,8.2,69
Bibb,"40,433","41,517","44,830",32,2.7,8.0,77
Bleckley,"33,520","34,464","36,712",113,2.8,6.5,112
Brantley,"27,046","27,472","30,007",151,1.6,9.2,39
Brooks,"34,708","36,742","40,221",63,5.9,9.5,33
Bryan,"53,382","53,404","56,648",7,0.0,6.1,118
Bulloch,"32,360","32,718","35,376",125,1.1,8.1,71
Burke,"34,940","38,419","41,973",48,10.0,9.3,36
Butts,"34,243","34,761","37,403",105,1.5,7.6,85
Calhoun,"23,262","25,701","28,426",154,10.5,10.6,17
Camden,"35,872","36,807","39,262",80,2.6,6.7,109
Candler,"32,024","33,649","36,613",116,5.1,8.8,49
Carroll,"38,273","39,725","42,058",46,3.8,5.9,121
Catoosa,"34,882","36,030","38,815",87,3.3,7.7,82
Charlton,"24,465","24,884","27,192",156,1.7,9.3,35
Chatham,"47,256","48,545","51,805",14,2.7,6.7,105
Chattahoochee,"29,964","30,433","33,166",143,1.6,9.0,44
Chattooga,"30,296","31,069","33,855",137,2.6,9.0,45
Cherokee,"52,052","53,774","56,278",9,3.3,4.7,139
Clarke,"33,481","34,935","37,588",100,4.3,7.6,87
Clay,"32,081","34,175","38,731",89,6.5,13.3,5
Clayton,"27,430","28,329","32,702",144,3.3,15.4,2
Clinch,"36,689","38,551","44,238",35,5.1,14.8,3
Cobb,"57,762","60,383","63,214",5,4.5,4.7,138
Coffee,"31,761","32,880","35,507",124,3.5,8.0,75
Colquitt,"32,728","33,793","37,418",103,3.3,10.7,16
Columbia,"49,844","51,534","54,420",11,3.4,5.6,124
