"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Gloucester,"54,646","56,853","60,386",15,4.0,6.2,11
Hudson,"65,090","67,570","71,682",8,3.8,6.1,12
Hunterdon,"87,934","91,946","95,088",3,4.6,3.4,19
Mercer,"68,052","70,675","74,218",6,3.9,5.0,16
Middlesex,"60,547","62,665","66,640",13,3.5,6.3,9
Monmouth,"79,249","82,270","86,091",5,3.8,4.6,17
Morris,"97,244","99,140","102,227",2,1.9,3.1,20
Ocean,"51,725","53,517","57,344",17,3.5,7.2,6
Passaic,"49,167","51,203","55,775",19,4.1,8.9,2
Salem,"47,485","50,597","54,578",20,6.6,7.9,4
Somerset,"104,620","110,466","112,825",1,5.6,2.1,21
Sussex,"61,531","64,284","67,814",11,4.5,5.5,14
Union,"67,346","68,867","72,543",7,2.3,5.3,15
Warren,"54,973","56,956","60,525",14,3.6,6.3,10
,,,,,,,
New Mexico,"41,329","43,121","46,338",--,4.3,7.5,--
Bernalillo,"43,326","45,203","48,683",7,4.3,7.7,24
Catron,"32,384","32,184","36,171",31,-0.6,12.4,10
Chaves,"39,086","40,117","43,615",18,2.6,8.7,23
Cibola,"27,651","28,979","32,755",33,4.8,13.0,8
Colfax,"39,688","41,000","45,610",13,3.3,11.2,19
Curry,"41,787","43,667","48,894",6,4.5,12.0,14
De Baca,"45,330","47,727","56,603",4,5.3,18.6,2
Doña Ana,"35,805","37,413","40,218",23,4.5,7.5,25
Eddy,"54,520","60,847","62,356",3,11.6,2.5,32
Grant,"40,554","42,599","45,561",14,5.0,7.0,27
Guadalupe,"33,752","35,168","39,140",24,4.2,11.3,18
Harding,"38,545","41,124","50,723",5,6.7,23.3,1
Hidalgo,"41,272","43,323","48,166",8,5.0,11.2,20
Lea,"47,092","49,517","47,215",11,5.1,-4.6,33
Lincoln,"40,547","41,869","44,732",16,3.3,6.8,28
Los Alamos,"70,405","73,189","76,142",1,4.0,4.0,31
Luna,"31,445","32,997","38,022",29,4.9,15.2,5
McKinley,"27,402","28,855","32,804",32,5.3,13.7,6
Mora,"38,290","40,436","45,300",15,5.6,12.0,12
Otero,"34,562","35,231","38,779",27,1.9,10.1,22
Quay,"38,961","39,870","44,691",17,2.3,12.1,11
Rio Arriba,"34,982","36,401","40,771",21,4.1,12.0,13
Roosevelt,"39,226","41,475","46,999",12,5.7,13.3,7
Sandoval,"41,843","43,977","47,257",10,5.1,7.5,26
San Juan,"35,408","36,095","38,370",28,1.9,6.3,29
San Miguel,"34,797","36,191","40,675",22,4.0,12.4,9
Santa Fe,"58,525","60,301","63,004",2,3.0,4.5,30
Sierra,"38,534","40,762","47,388",9,5.8,16.3,4
Socorro,"33,875","35,054","39,055",25,3.5,11.4,17
Taos,"37,906","38,446","42,965",19,1.4,11.8,16
Torrance,"31,670","33,301","37,276",30,5.1,11.9,15
Union,"35,192","35,939","41,932",20,2.1,16.7,3
Valencia,"34,177","35,268","38,918",26,3.2,10.3,21
,,,,,,,
New York,"67,357","69,951","74,472",--,3.9,6.5,--
Albany,"59,547","61,876","66,632",7,3.9,7.7,42
Allegany,"34,553","37,131","40,840",62,7.5,10.0,12
Bronx,"35,819","38,096","43,919",59,6.4,15.3,1
Broome,"43,487","45,174","49,314",38,3.9,9.2,23
Cattaraugus,"39,239","41,122","45,200",56,4.8,9.9,14
Cayuga,"42,031","44,415","48,585",42,5.7,9.4,20
Chautauqua,"39,900","41,443","45,357",54,3.9,9.4,17
Chemung,"43,941","45,658","49,439",36,3.9,8.3,32
Chenango,"41,715","43,286","47,842",44,3.8,10.5,6
Clinton,"43,216","44,859","48,292",43,3.8,7.7,43
Columbia,"55,163","57,136","60,859",11,3.6,6.5,56
Cortland,"40,368","41,412","45,776",53,2.6,10.5,5
Delaware,"39,271","42,523","45,822",52,8.3,7.8,39
Dutchess,"55,799","58,417","62,319",10,4.7,6.7,54
Erie,"50,435","52,264","56,748",21,3.6,8.6,29
Essex,"45,638","47,329","50,824",31,3.7,7.4,47
Franklin,"37,264","39,307","42,525",61,5.5,8.2,34
Fulton,"42,812","44,478","48,957",41,3.9,10.1,10
Genesee,"43,618","45,200","49,468",35,3.6,9.4,18
Greene,"47,044","48,947","52,484",25,4.0,7.2,49
Hamilton,"54,330","55,730","60,014",12,2.6,7.7,41
Herkimer,"40,795","43,347","47,266",46,6.3,9.0,24
Jefferson,"46,375","48,896","53,964",24,5.4,10.4,7
Kings,"51,730","54,349","59,468",14,5.1,9.4,19
Lewis,"44,539","47,134","51,992",27,5.8,10.3,9
Livingston,"45,845","46,116","49,382",37,0.6,7.1,52
Madison,"43,607","45,453","49,137",40,4.2,8.1,35
Monroe,"52,173","54,174","58,299",17,3.8,7.6,45
Montgomery,"40,534","41,995","46,332",49,3.6,10.3,8
Nassau,"89,242","92,159","96,253",3,3.3,4.4,60
New York,"184,539","187,213","191,220",1,1.4,2.1,62
Niagara,"44,569","47,053","51,506",28,5.6,9.5,16
Oneida,"43,917","46,529","50,201",33,5.9,7.9,36
Onondaga,"52,624","54,379","58,919",16,3.3,8.3,31
Ontario,"53,151","55,315","59,335",15,4.1,7.3,48
Orange,"51,247","53,287","57,688",19,4.0,8.3,33
Orleans,"38,959","39,798","44,477",57,2.2,11.8,2
Oswego,"40,067","42,047","46,210",51,4.9,9.9,15
Otsego,"43,670","45,672","49,275",39,4.6,7.9,37
Putnam,"66,740","69,542","73,152",6,4.2,5.2,59
Queens,"49,212","51,530","57,085",20,4.7,10.8,4
Rensselaer,"48,618","50,481","54,748",23,3.8,8.5,30
Richmond,"55,695","57,990","62,558",9,4.1,7.9,38
Rockland,"60,111","62,206","66,350",8,3.5,6.7,55
St. Lawrence,"37,707","39,373","43,034",60,4.4,9.3,22
Saratoga,"70,010","72,219","77,398",4,3.2,7.2,51
Schenectady,"48,718","54,310","58,210",18,11.5,7.2,50
Schoharie,"41,084","42,648","46,469",48,3.8,9.0,25
Schuyler,"41,357","42,703","46,971",47,3.3,10.0,11
Seneca,"38,284","40,299","44,065",58,5.3,9.3,21
Steuben,"44,869","46,726","50,331",32,4.1,7.7,40
Suffolk,"69,209","72,180","76,713",5,4.3,6.3,58
Sullivan,"45,993","48,550","52,249",26,5.6,7.6,44
Tioga,"44,811","46,818","50,990",30,4.5,8.9,26
Tompkins,"44,692","46,052","49,486",34,3.0,7.5,46
Ulster,"50,378","52,554","56,071",22,4.3,6.7,53
Warren,"52,542","54,650","59,509",13,4.0,8.9,27
Washington,"40,089","42,122","46,305",50,5.1,9.9,13
Wayne,"45,732","48,162","51,282",29,5.3,6.5,57
Westchester,"107,252","112,037","115,386",2,4.5,3.0,61
Wyoming,"39,872","42,682","47,331",45,7.0,10.9,3
Yates,"39,082","41,632","45,258",55,6.5,8.7,28
,,,,,,,
North Carolina,"45,758","47,660","50,305",--,4.2,5.5,--
Alamance,"39,742","41,256","43,973",38,3.8,6.6,54
Alexander,"36,539","37,758","40,176",63,3.3,6.4,59
Alleghany,"36,576","37,987","40,599",60,3.9,6.9,43
Anson,"35,135","37,741","38,785",78,7.4,2.8,98
Ashe,"34,791","36,643","39,612",67,5.3,8.1,17
Avery,"35,335","36,896","39,437",71,4.4,6.9,42
Beaufort,"41,331","43,878","46,363",25,6.2,5.7,75
Bertie,"35,216","37,557","40,351",62,6.6,7.4,31
Bladen,"34,040","35,601","39,264",75,4.6,10.3,5
Brunswick,"44,497","45,128","46,829",24,1.4,3.8,95
Buncombe,"48,819","50,804","53,309",10,4.1,4.9,82
Burke,"34,881","36,022","38,946",76,3.3,8.1,16
Cabarrus,"45,352","46,826","49,679",17,3.3,6.1,66
Caldwell,"34,896","36,141","38,894",77,3.6,7.6,27
Camden,"44,413","45,839","48,642",21,3.2,6.1,65
Carteret,"47,910","50,531","53,276",11,5.5,5.4,76
Caswell,"34,413","36,032","39,265",74,4.7,9.0,6
Catawba,"44,528","46,184","49,193",18,3.7,6.5,56
Chatham,"63,068","64,978","66,766",2,3.0,2.8,99
Cherokee,"31,996","34,072","36,620",94,6.5,7.5,30
Chowan,"40,326","42,376","45,388",28,5.1,7.1,36
Clay,"33,043","34,901","37,625",91,5.6,7.8,22
Cleveland,"36,920","38,859","41,616",52,5.3,7.1,37
Columbus,"31,827","33,376","37,112",92,4.9,11.2,3
Craven,"42,495","45,308","48,832",20,6.6,7.8,23
Cumberland,"37,919","39,799","42,992",45,5.0,8.0,18
Currituck,"45,460","46,911","49,152",19,3.2,4.8,83
Dare,"54,295","56,573","59,240",5,4.2,4.7,85
Davidson,"38,966","40,647","43,348",41,4.3,6.6,52
Davie,"47,774","49,964","52,153",12,4.6,4.4,89
Duplin,"33,314","35,354","37,872",87,6.1,7.1,35
Durham,"49,557","51,380","54,056",9,3.7,5.2,80
Edgecombe,"34,443","36,237","39,394",72,5.2,8.7,8
Forsyth,"47,037","48,756","51,323",13,3.7,5.3,79
Franklin,"36,088","36,826","39,490",69,2.0,7.2,34
Gaston,"39,851","41,330","44,103",36,3.7,6.7,50
Gates,"36,883","38,915","41,571",54,5.5,6.8,45
Graham,"33,017","35,055","37,943",86,6.2,8.2,12
Granville,"38,053","40,359","42,807",48,6.1,6.1,67
Greene,"30,343","32,088","34,811",98,5.8,8.5,10
Guilford,"45,234","47,013","49,856",16,3.9,6.0,68
Halifax,"35,342","37,146","39,680",66,5.1,6.8,46
Harnett,"34,359","35,873","38,280",83,4.4,6.7,49
Haywood,"39,540","41,523","43,754",39,5.0,5.4,77
Henderson,"43,626","45,680","47,385",23,4.7,3.7,96
Hertford,"31,222","32,717","36,216",96,4.8,10.7,4
Hoke,"31,402","32,845","35,411",97,4.6,7.8,21
Hyde,"35,397","39,776","42,832",47,12.4,7.7,25
Iredell,"51,163","53,465","56,201",7,4.5,5.1,81
Jackson,"33,255","35,663","38,341",81,7.2,7.5,29
Johnston,"40,272","41,318","44,087",37,2.6,6.7,51
Jones,"37,400","41,434","43,254",42,10.8,4.4,88
Lee,"40,923","42,390","44,870",30,3.6,5.9,73
Lenoir,"39,285","40,990","44,361",34,4.3,8.2,13
Lincoln,"45,514","47,322","50,216",15,4.0,6.1,64
McDowell,"34,190","35,086","37,858",88,2.6,7.9,20
Macon,"39,243","41,654","44,564",32,6.1,7.0,39
Madison,"33,747","35,888","38,148",85,6.3,6.3,61
Martin,"33,431","35,403","38,301",82,5.9,8.2,15
Mecklenburg,"60,804","62,846","65,244",4,3.4,3.8,94
Mitchell,"35,781","37,046","39,476",70,3.5,6.6,55
Montgomery,"35,608","36,850","39,353",73,3.5,6.8,47
Moore,"50,526","52,441","54,514",8,3.8,4.0,91
Nash,"41,564","43,315","45,890",27,4.2,5.9,70
New Hanover,"46,049","48,558","50,780",14,5.4,4.6,86
Northampton,"33,506","36,080","38,402",80,7.7,6.4,58
Onslow,"40,077","40,671","43,122",43,1.5,6.0,69
Orange,"62,393","65,530","67,089",1,5.0,2.4,100
Pamlico,"40,568","42,848","45,994",26,5.6,7.3,33
Pasquotank,"37,819","39,521","42,529",50,4.5,7.6,28
Pender,"37,403","39,418","41,292",55,5.4,4.8,84
Perquimans,"39,284","41,234","44,402",33,5.0,7.7,26
Person,"37,342","39,038","41,581",53,4.5,6.5,57
Pitt,"41,163","42,882","45,169",29,4.2,5.3,78
Polk,"43,276","46,661","48,125",22,7.8,3.1,97
Randolph,"37,378","38,935","41,231",57,4.2,5.9,72
Richmond,"34,157","35,434","38,554",79,3.7,8.8,7
Robeson,"28,846","30,552","33,062",100,5.9,8.2,14
Rockingham,"36,586","38,057","40,672",59,4.0,6.9,44
Rowan,"38,338","40,714","43,724",40,6.2,7.4,32
Rutherford,"32,180","34,065","36,714",93,5.9,7.8,24
Sampson,"33,889","35,805","38,165",84,5.7,6.6,53
Scotland,"32,428","33,895","36,247",95,4.5,6.9,40
Stanly,"38,545","39,931","42,613",49,3.6,6.7,48
Stokes,"37,340","38,775","41,186",58,3.8,6.2,62
Surry,"37,875","39,696","42,133",51,4.8,6.1,63
Swain,"38,462","40,824","44,213",35,6.1,8.3,11
Transylvania,"41,102","43,065","44,747",31,4.8,3.9,92
Tyrrell,"29,285","33,699","37,638",90,15.1,11.7,1
Union,"52,475","54,534","56,820",6,3.9,4.2,90
Vance,"33,643","35,002","37,774",89,4.0,7.9,19
Wake,"60,330","62,657","65,450",3,3.9,4.5,87
Warren,"29,228","30,317","33,779",99,3.7,11.4,2
Washington,"34,454","36,780","39,912",65,6.8,8.5,9
Watauga,"36,704","38,652","40,157",64,5.3,3.9,93
Wayne,"38,115","40,116","42,882",46,5.2,6.9,41
Wilkes,"36,445","37,309","39,518",68,2.4,5.9,71
Wilson,"39,158","40,260","43,111",44,2.8,7.1,38
Yadkin,"37,328","39,012","41,250",56,4.5,5.7,74
Yancey,"36,475","38,011","40,422",61,4.2,6.3,60
,,,,,,,
North Dakota,"56,340","58,163","61,530",--,3.2,5.8,--
Adams,"46,920","49,382","59,255",40,5.2,20.0,16
Barnes,"52,638","56,985","64,242",26,8.3,12.7,32
Benson,"36,824","36,229","45,003",51,-1.6,24.2,10
Billings,"78,008","81,562","82,466",4,4.6,1.1,47
Bottineau,"62,199","61,826","68,631",17,-0.6,11.0,34
Bowman,"61,172","68,298","68,963",16,11.6,1.0,48
Burke,"73,840","76,582","77,237",7,3.7,0.9,49
Burleigh,"59,381","61,147","62,801",31,3.0,2.7,43
Cass,"57,597","59,415","61,899",34,3.2,4.2,41
Cavalier,"74,820","64,238","88,702",1,-14.1,38.1,2
Dickey,"54,902","63,334","71,888",13,15.4,13.5,30
Divide,"52,531","55,971","62,052",33,6.5,10.9,35
Dunn,"63,808","67,270","68,491",18,5.4,1.8,46
Eddy,"59,883","60,794","74,844",10,1.5,23.1,13
Emmons,"49,479","51,194","64,430",25,3.5,25.9,7
Foster,"61,268","61,967","76,313",8,1.1,23.2,11
Golden Valley,"37,752","39,030","46,435",50,3.4,19.0,19
Grand Forks,"51,496","53,381","57,659",44,3.7,8.0,37
Grant,"43,023","45,297","57,761",42,5.3,27.5,6
Griggs,"57,992","58,748","73,753",11,1.3,25.5,8
Hettinger,"48,395","50,384","59,519",38,4.1,18.1,21
Kidder,"51,092","53,103","64,918",23,3.9,22.2,14
LaMoure,"52,791","60,161","70,351",15,14.0,16.9,22
Logan,"53,489","51,572","59,859",37,-3.6,16.1,25
McHenry,"53,196","52,552","59,320",39,-1.2,12.9,31
McIntosh,"55,917","60,988","70,812",14,9.1,16.1,24
McKenzie,"68,494","67,761","64,035",28,-1.1,-5.5,52
McLean,"56,859","61,260","66,025",20,7.7,7.8,38
Mercer,"58,663","58,923","60,497",35,0.4,2.7,44
Morton,"53,084","54,782","57,708",43,3.2,5.3,40
Mountrail,"64,063","65,591","64,982",22,2.4,-0.9,50
Nelson,"60,783","61,641","75,907",9,1.4,23.1,12
Oliver,"44,851","45,805","52,076",49,2.1,13.7,29
Pembina,"58,930","60,963","72,827",12,3.4,19.5,17
Pierce,"51,064","48,329","57,159",47,-5.4,18.3,20
Ramsey,"49,414","50,171","57,250",46,1.5,14.1,28
Ransom,"54,827","59,123","65,153",21,7.8,10.2,36
Renville,"75,079","71,625","80,431",5,-4.6,12.3,33
Richland,"49,981","52,375","54,465",48,4.8,4.0,42
Rolette,"36,026","36,455","41,884",52,1.2,14.9,26
Sargent,"55,738","62,704","67,215",19,12.5,7.2,39
Sheridan,"48,170","47,192","58,958",41,-2.0,24.9,9
Sioux,"27,710","28,194","33,675",53,1.7,19.4,18
Slope,"40,838","45,086","60,039",36,10.4,33.2,4
Stark,"62,343","65,914","63,650",30,5.7,-3.4,51
Steele,"55,133","62,811","84,674",3,13.9,34.8,3
Stutsman,"51,666","54,679","62,694",32,5.8,14.7,27
Towner,"70,334","59,474","87,632",2,-15.4,47.3,1
Traill,"50,381","54,952","64,096",27,9.1,16.6,23
Walsh,"51,266","52,544","63,790",29,2.5,21.4,15
Ward,"54,284","56,161","57,492",45,3.5,2.4,45
Wells,"59,809","60,817","79,403",6,1.7,30.6,5
Williams,"70,474","69,619","64,850",24,-1.2,-6.9,53
,,,,,,,
Ohio,"48,778","50,201","53,641",--,2.9,6.9,--
Adams,"34,849","35,553","39,658",81,2.0,11.5,3
Allen,"42,427","43,268","46,500",45,2.0,7.5,52
Ashland,"38,595","39,969","43,041",68,3.6,7.7,50
Ashtabula,"38,923","40,039","43,597",66,2.9,8.9,29
Athens,"33,402","34,387","36,642",86,2.9,6.6,68
Auglaize,"48,735","49,225","52,330",20,1.0,6.3,73
Belmont,"42,836","41,735","43,354",67,-2.6,3.9,85
Brown,"37,428","38,935","42,275",74,4.0,8.6,38
Butler,"47,498","49,959","52,598",18,5.2,5.3,80
Carroll,"39,504","40,997","44,624",59,3.8,8.8,31
Champaign,"41,353","42,403","46,605",44,2.5,9.9,13
Clark,"40,263","41,625","45,363",54,3.4,9.0,26
Clermont,"53,893","57,571","60,535",6,6.8,5.1,81
Clinton,"45,082","45,049","48,542",33,-0.1,7.8,48
Columbiana,"38,282","39,387","42,771",71,2.9,8.6,37
Coshocton,"35,262","36,258","39,640",83,2.8,9.3,22
Crawford,"38,720","39,667","43,918",64,2.4,10.7,6
Cuyahoga,"54,612","55,998","59,923",8,2.5,7.0,60
Darke,"43,987","44,202","48,088",37,0.5,8.8,32
Defiance,"40,995","41,905","45,385",53,2.2,8.3,44
Delaware,"74,837","76,131","79,382",1,1.7,4.3,84
Erie,"60,406","55,748","56,732",11,-7.7,1.8,87
Fairfield,"46,436","47,809","51,153",23,3.0,7.0,61
Fayette,"38,583","40,049","46,261",46,3.8,15.5,1
Franklin,"50,184","51,467","55,294",13,2.6,7.4,53
Fulton,"45,506","47,145","50,349",29,3.6,6.8,66
Gallia,"39,560","40,492","43,932",62,2.4,8.5,40
Geauga,"69,949","71,824","73,958",2,2.7,3.0,86
Greene,"50,478","51,648","54,645",15,2.3,5.8,78
Guernsey,"40,629","41,731","45,218",55,2.7,8.4,43
Hamilton,"59,550","61,458","65,035",4,3.2,5.8,77
Hancock,"50,191","50,556","54,386",17,0.7,7.6,51
Hardin,"32,894","33,253","36,506",87,1.1,9.8,18
Harrison,"38,607","39,466","42,014",75,2.2,6.5,69
Henry,"44,650","46,216","50,752",27,3.5,9.8,15
Highland,"36,269","37,274","41,094",79,2.8,10.2,9
Hocking,"38,010","39,253","42,337",73,3.3,7.9,46
Holmes,"45,612","47,386","48,118",36,3.9,1.5,88
Huron,"40,609","41,776","45,844",52,2.9,9.7,19
Jackson,"35,514","36,816","40,663",80,3.7,10.4,7
Jefferson,"38,916","40,683","44,375",60,4.5,9.1,24
Knox,"43,197","44,390","47,964",38,2.8,8.1,45
Lake,"51,402","52,811","56,085",12,2.7,6.2,74
Lawrence,"38,521","39,413","42,905",69,2.3,8.9,30
Licking,"46,030","47,498","50,810",26,3.2,7.0,62
Logan,"43,047","44,189","48,471",34,2.7,9.7,20
Lorain,"46,507","47,989","51,157",22,3.2,6.6,67
Lucas,"46,147","47,719","51,024",25,3.4,6.9,63
Madison,"41,247","42,296","46,679",43,2.5,10.4,8
Mahoning,"42,992","44,315","47,729",40,3.1,7.7,49
Marion,"37,393","37,873","41,449",77,1.3,9.4,21
Medina,"56,311","57,630","60,514",7,2.3,5.0,82
Meigs,"34,713","36,055","39,644",82,3.9,10.0,12
Mercer,"52,830","50,940","54,527",16,-3.6,7.0,59
Miami,"47,759","48,999","52,469",19,2.6,7.1,58
Monroe,"35,404","37,565","41,242",78,6.1,9.8,16
Montgomery,"46,786","48,143","51,618",21,2.9,7.2,55
Morgan,"33,024","34,508","38,583",85,4.5,11.8,2
Morrow,"39,275","40,740","44,282",61,3.7,8.7,33
Muskingum,"40,855","42,506","46,070",49,4.0,8.4,42
Noble,"27,335","27,981","30,397",88,2.4,8.6,35
Ottawa,"52,226","54,026","57,446",9,3.4,6.3,71
Paulding,"40,818","41,831","46,097",48,2.5,10.2,11
Perry,"37,505","38,562","41,913",76,2.8,8.7,34
Pickaway,"40,924","42,169","46,033",51,3.0,9.2,23
Pike,"37,706","38,804","42,774",70,2.9,10.2,10
Portage,"44,319","45,500","48,285",35,2.7,6.1,75
Preble,"40,164","41,302","45,016",57,2.8,9.0,25
Putnam,"49,465","50,699","54,646",14,2.5,7.8,47
Richland,"39,173","40,313","43,928",63,2.9,9.0,27
Ross,"37,235","39,010","42,348",72,4.8,8.6,39
Sandusky,"41,563","42,343","46,113",47,1.9,8.9,28
Scioto,"39,122","40,794","43,820",65,4.3,7.4,54
Seneca,"39,002","40,458","44,993",58,3.7,11.2,4
Shelby,"45,556","46,069","49,956",30,1.1,8.4,41
Stark,"44,912","46,384","49,592",32,3.3,6.9,64
Summit,"51,404","53,580","56,821",10,4.2,6.0,76
Trumbull,"41,043","41,559","45,142",56,1.3,8.6,36
Tuscarawas,"43,952","45,039","47,937",39,2.5,6.4,70
Union,"58,905","59,835","64,147",5,1.6,7.2,56
Van Wert,"42,507","43,120","47,339",42,1.4,9.8,17
Vinton,"33,713","35,022","38,881",84,3.9,11.0,5
Warren,"60,439","62,896","65,855",3,4.1,4.7,83
Washington,"43,360","44,343","47,365",41,2.3,6.8,65
Wayne,"45,133","46,939","49,901",31,4.0,6.3,72
Williams,"41,256","42,965","46,040",50,4.1,7.2,57
Wood,"47,624","48,566","51,147",24,2.0,5.3,79
Wyandot,"44,854","46,032","50,573",28,2.6,9.9,14
,,,,,,,
Oklahoma,"46,298","48,317","49,878",--,4.4,3.2,--
Adair,"29,020","29,926","32,724",76,3.1,9.3,6
Alfalfa,"39,579","40,970","43,043",37,3.5,5.1,40
Atoka,"32,121","32,869","34,758",73,2.3,5.7,29
Beaver,"52,237","54,416","57,190",5,4.2,5.1,39
Beckham,"38,847","39,364","41,041",40,1.3,4.3,45
Blaine,"42,419","43,857","44,435",32,3.4,1.3,70
Bryan,"34,189","35,545","37,561",60,4.0,5.7,31
Caddo,"35,750","37,535","39,673",50,5.0,5.7,30
Canadian,"45,975","46,596","48,267",14,1.4,3.6,55
Carter,"43,074","44,167","45,874",25,2.5,3.9,53
Cherokee,"32,574","33,943","35,764",66,4.2,5.4,36
Choctaw,"30,998","32,340","35,627",69,4.3,10.2,2
Cimarron,"61,295","66,785","68,446",1,9.0,2.5,65
Cleveland,"45,295","46,488","48,042",15,2.6,3.3,60
Coal,"36,378","38,752","38,938",55,6.5,0.5,74
Comanche,"41,285","42,639","45,432",28,3.3,6.6,21
Cotton,"40,230","43,995","47,794",16,9.4,8.6,10
Craig,"37,375","39,286","41,477",39,5.1,5.6,33
Creek,"40,612","42,591","44,706",31,4.9,5.0,41
Custer,"40,152","41,708","43,373",35,3.9,4.0,48
Delaware,"32,594","33,819","35,435",71,3.8,4.8,42
Dewey,"46,491","50,635","51,656",10,8.9,2.0,66
Ellis,"51,734","53,949","55,592",7,4.3,3.0,61
Garfield,"44,288","45,053","46,702",20,1.7,3.7,54
Garvin,"38,315","40,132","42,189",38,4.7,5.1,38
Grady,"40,277","41,854","43,506",34,3.9,3.9,50
Grant,"41,607","47,131","53,075",9,13.3,12.6,1
Greer,"28,163","29,876","32,547",77,6.1,8.9,7
Harmon,"36,852","41,582","45,688",26,12.8,9.9,3
Harper,"49,199","50,182","50,223",12,2.0,0.1,75
Haskell,"32,348","33,186","33,617",74,2.6,1.3,71
Hughes,"39,298","41,863","43,758",33,6.5,4.5,43
Jackson,"40,299","43,272","46,426",21,7.4,7.3,13
Jefferson,"32,673","34,158","37,467",61,4.5,9.7,4
Johnston,"36,732","35,555","38,971",54,-3.2,9.6,5
Kay,"40,172","41,813","44,718",30,4.1,6.9,15
Kingfisher,"53,924","56,383","58,591",3,4.6,3.9,52
Kiowa,"34,220","37,429","40,736",43,9.4,8.8,9
Latimer,"34,208","34,821","35,756",67,1.8,2.7,64
Le Flore,"32,225","33,527","35,362",72,4.0,5.5,35
Lincoln,"35,363","36,731","39,164",52,3.9,6.6,17
Logan,"43,406","44,566","46,102",22,2.7,3.4,59
Love,"37,752","38,248","40,353",46,1.3,5.5,34
McClain,"46,437","48,780","49,683",13,5.0,1.9,68
McCurtain,"32,168","33,072","35,511",70,2.8,7.4,11
McIntosh,"33,408","35,972","38,217",58,7.7,6.2,22
Major,"44,485","44,106","45,667",27,-0.9,3.5,57
Marshall,"33,202","34,406","36,800",64,3.6,7.0,14
Mayes,"35,604","36,741","39,149",53,3.2,6.6,20
Murray,"42,637","43,556","45,419",29,2.2,4.3,44
Muskogee,"36,149","37,881","39,894",49,4.8,5.3,37
Noble,"41,795","44,736","47,378",18,7.0,5.9,26
Nowata,"35,887","37,236","39,961",48,3.8,7.3,12
Okfuskee,"29,158","31,625","33,520",75,8.5,6.0,24
Oklahoma,"51,313","55,917","56,971",6,9.0,1.9,67
Okmulgee,"33,559","35,187","37,367",63,4.9,6.2,23
Osage,"34,875","36,438","38,588",56,4.5,5.9,27
Ottawa,"36,490","38,356","40,876",41,5.1,6.6,19
Pawnee,"35,970","37,399","39,491",51,4.0,5.6,32
Payne,"37,034","39,113","40,487",45,5.6,3.5,58
Pittsburg,"38,415","39,638","40,786",42,3.2,2.9,63
Pontotoc,"42,860","45,121","47,748",17,5.3,5.8,28
Pottawatomie,"37,181","39,769","40,043",47,7.0,0.7,72
Pushmataha,"31,747","32,731","35,650",68,3.1,8.9,8
Roger Mills,"44,984","44,266","46,054",23,-1.6,4.0,47
Rogers,"46,769","48,836","50,583",11,4.4,3.6,56
Seminole,"33,581","35,152","37,463",62,4.7,6.6,18
Sequoyah,"32,733","34,256","36,537",65,4.7,6.7,16
Stephens,"42,376","44,182","46,027",24,4.3,4.2,46
Texas,"53,030","56,591","55,434",8,6.7,-2.0,76
Tillman,"33,991","38,114","38,316",57,12.1,0.5,73
Tulsa,"63,340","64,444","65,519",2,1.7,1.7,69
Wagoner,"40,116","41,458","43,111",36,3.3,4.0,49
Washington,"63,641","59,436","58,010",4,-6.6,-2.4,77
Washita,"34,818","36,574","38,017",59,5.0,3.9,51
Woods,"44,551","45,859","47,226",19,2.9,3.0,62
Woodward,"38,117","38,420","40,710",44,0.8,6.0,25
,,,,,,,
Oregon,"50,535","52,462","56,312",--,3.8,7.3,--
Baker,"40,070","41,658","46,277",28,4.0,11.1,11
Benton,"45,846","47,920","50,399",12,4.5,5.2,36
Clackamas,"58,903","61,375","64,791",4,4.2,5.6,34
Clatsop,"44,901","45,743","48,777",15,1.9,6.6,31
Columbia,"43,828","45,379","48,749",16,3.5,7.4,28
Coos,"43,550","46,120","50,581",11,5.9,9.7,17
Crook,"41,415","42,981","46,179",30,3.8,7.4,27
Curry,"42,714","44,490","48,046",20,4.2,8.0,23
Deschutes,"55,473","57,493","61,216",6,3.6,6.5,32
Douglas,"40,455","41,804","46,342",27,3.3,10.9,12
Gilliam,"50,504","56,907","67,754",1,12.7,19.1,2
Grant,"41,220","42,596","47,569",22,3.3,11.7,10
Harney,"39,000","40,779","47,009",25,4.6,15.3,4
Hood River,"54,963","55,609","60,225",7,1.2,8.3,20
Jackson,"45,903","47,708","51,824",9,3.9,8.6,19
Jefferson,"34,350","35,376","39,552",35,3.0,11.8,9
Josephine,"40,980","43,694","46,913",26,6.6,7.4,29
Klamath,"39,777","40,457","44,513",33,1.7,10.0,16
Lake,"40,373","41,826","47,402",23,3.6,13.3,5
Lane,"44,957","45,960","49,583",14,2.2,7.9,24
Lincoln,"43,858","44,689","47,231",24,1.9,5.7,33
Linn,"42,811","43,971","48,040",21,2.7,9.3,18
Malheur,"31,610","33,562","37,964",36,6.2,13.1,6
Marion,"42,383","44,464","48,135",18,4.9,8.3,21
Morrow,"45,016","48,535","58,541",8,7.8,20.6,1
Multnomah,"57,195","59,402","63,852",5,3.9,7.5,26
